Attribute,Time stamp,x,y,z
Magnetometer,203994,7.949676513671875,-152.24380493164062,-96.5960693359375
Magnetometer,204005,6.89971923828125,-152.24380493164062,-94.1961669921875
Magnetometer,204016,9.749603271484375,-152.9937744140625,-93.14620971679688
Magnetometer,204027,7.19970703125,-152.24380493164062,-95.54611206054688
Magnetometer,204038,8.249664306640625,-153.74374389648438,-93.89617919921875
Magnetometer,204049,6.5997314453125,-151.7938232421875,-93.59619140625
Magnetometer,204060,7.649688720703125,-150.89385986328125,-93.14620971679688
Magnetometer,204071,5.999755859375,-152.393798828125,-94.04617309570312
Magnetometer,204082,7.19970703125,-151.49383544921875,-93.89617919921875
Magnetometer,204093,6.449737548828125,-151.49383544921875,-93.89617919921875
Magnetometer,204104,5.999755859375,-152.09381103515625,-93.29620361328125
Magnetometer,204115,8.549652099609375,-151.04385375976562,-94.64614868164062
Magnetometer,204126,7.049713134765625,-149.54391479492188,-92.9962158203125
Magnetometer,204137,7.949676513671875,-151.49383544921875,-94.1961669921875
Magnetometer,204148,8.09967041015625,-151.34384155273438,-94.34616088867188
Magnetometer,204159,5.249786376953125,-150.29388427734375,-93.59619140625
Magnetometer,204170,6.5997314453125,-151.04385375976562,-94.04617309570312
Magnetometer,204180,6.149749755859375,-150.89385986328125,-92.396240234375
Magnetometer,204192,5.249786376953125,-150.29388427734375,-93.29620361328125
Magnetometer,204203,5.999755859375,-151.34384155273438,-93.29620361328125
Magnetometer,204213,6.149749755859375,-151.49383544921875,-93.14620971679688
Magnetometer,204225,5.69976806640625,-150.89385986328125,-93.89617919921875
Magnetometer,204236,6.5997314453125,-151.7938232421875,-93.29620361328125
Magnetometer,204247,7.049713134765625,-151.7938232421875,-94.04617309570312
Magnetometer,204258,7.049713134765625,-151.04385375976562,-92.54623413085938
Magnetometer,204269,6.149749755859375,-150.89385986328125,-95.24612426757812
Magnetometer,204280,6.5997314453125,-149.54391479492188,-92.9962158203125
Magnetometer,204291,7.049713134765625,-149.993896484375,-94.34616088867188
Magnetometer,204302,7.949676513671875,-150.44387817382812,-93.89617919921875
Magnetometer,204313,7.049713134765625,-150.5938720703125,-93.29620361328125
Magnetometer,204324,7.349700927734375,-150.5938720703125,-93.29620361328125
Magnetometer,204376,6.89971923828125,-151.49383544921875,-93.14620971679688
Magnetometer,204388,4.049835205078125,-151.04385375976562,-92.24624633789062
Magnetometer,204399,4.349822998046875,-150.14389038085938,-91.7962646484375
Magnetometer,204410,2.69989013671875,-150.29388427734375,-91.94625854492188
Magnetometer,204421,0.449981689453125,-149.54391479492188,-92.24624633789062
Magnetometer,204432,1.349945068359375,-148.64395141601562,-90.74630737304688
Magnetometer,204443,-0.749969482421875,-150.14389038085938,-88.94638061523438
Magnetometer,204454,-4.049835205078125,-151.19384765625,-89.69635009765625
Magnetometer,204465,-6.449737548828125,-151.04385375976562,-89.09637451171875
Magnetometer,204476,-6.149749755859375,-149.54391479492188,-87.74642944335938
Magnetometer,204487,-8.09967041015625,-151.19384765625,-85.04653930664062
Magnetometer,204498,-6.449737548828125,-151.7938232421875,-86.24649047851562
Magnetometer,204509,-7.19970703125,-151.04385375976562,-86.69647216796875
Magnetometer,204520,-5.849761962890625,-151.94381713867188,-86.396484375
Magnetometer,204531,-7.349700927734375,-151.19384765625,-86.09649658203125
Magnetometer,204542,-6.5997314453125,-151.49383544921875,-85.7965087890625
Magnetometer,204553,-7.49969482421875,-151.7938232421875,-87.74642944335938
Magnetometer,204564,-6.449737548828125,-152.393798828125,-88.04641723632812
Magnetometer,204575,-8.9996337890625,-152.393798828125,-86.24649047851562
Magnetometer,204586,-7.049713134765625,-152.24380493164062,-87.89642333984375
Magnetometer,204597,-7.349700927734375,-153.44375610351562,-85.34652709960938
Magnetometer,204608,-6.449737548828125,-153.59375,-88.04641723632812
Magnetometer,204618,-8.399658203125,-152.69378662109375,-85.34652709960938
Magnetometer,204630,-6.449737548828125,-154.34371948242188,-86.24649047851562
Magnetometer,204641,-8.249664306640625,-153.59375,-87.29644775390625
Magnetometer,204652,-8.249664306640625,-154.34371948242188,-86.69647216796875
Magnetometer,204662,-5.249786376953125,-154.793701171875,-86.84646606445312
Magnetometer,204673,-7.19970703125,-152.393798828125,-88.04641723632812
Magnetometer,204684,-5.69976806640625,-153.14376831054688,-86.9964599609375
Magnetometer,204695,-6.749725341796875,-152.84378051757812,-86.24649047851562
Magnetometer,204707,-7.19970703125,-153.59375,-88.79638671875
Magnetometer,204718,-5.849761962890625,-152.9937744140625,-87.89642333984375
Magnetometer,204728,-5.849761962890625,-154.04373168945312,-88.94638061523438
Magnetometer,204739,-5.3997802734375,-154.34371948242188,-88.34640502929688
Magnetometer,204750,-7.049713134765625,-153.74374389648438,-87.44644165039062
Magnetometer,204761,-5.3997802734375,-153.14376831054688,-86.69647216796875
Magnetometer,204772,-3.89984130859375,-152.84378051757812,-86.9964599609375
Magnetometer,204783,-6.149749755859375,-153.14376831054688,-88.79638671875
Magnetometer,204794,-7.049713134765625,-153.44375610351562,-88.49639892578125
Magnetometer,204805,-6.149749755859375,-154.34371948242188,-87.74642944335938
Magnetometer,204817,-6.749725341796875,-154.94369506835938,-87.74642944335938
Magnetometer,204828,-6.449737548828125,-155.3936767578125,-88.04641723632812
Magnetometer,204839,-7.949676513671875,-153.59375,-87.29644775390625
Magnetometer,204851,-7.49969482421875,-153.89373779296875,-88.04641723632812
Magnetometer,204862,-8.09967041015625,-154.793701171875,-88.1964111328125
Magnetometer,204873,-7.349700927734375,-155.54367065429688,-87.14645385742188
Magnetometer,204885,-7.49969482421875,-155.3936767578125,-86.9964599609375
Magnetometer,204897,-8.9996337890625,-154.34371948242188,-85.64651489257812
Magnetometer,204907,-9.749603271484375,-153.89373779296875,-85.64651489257812
Magnetometer,204918,-7.949676513671875,-153.89373779296875,-86.24649047851562
Magnetometer,204930,-9.89959716796875,-156.5936279296875,-85.04653930664062
Magnetometer,204941,-8.399658203125,-155.84365844726562,-86.396484375
Magnetometer,204952,-7.949676513671875,-156.44363403320312,-85.94650268554688
Magnetometer,204963,-10.649566650390625,-155.54367065429688,-85.7965087890625
Magnetometer,204974,-10.349578857421875,-155.54367065429688,-85.7965087890625
Magnetometer,204984,-11.249542236328125,-155.69366455078125,-84.89654541015625
Magnetometer,204997,-11.249542236328125,-154.34371948242188,-82.49664306640625
Magnetometer,205007,-11.549530029296875,-157.193603515625,-83.84658813476562
Magnetometer,205019,-10.649566650390625,-154.04373168945312,-82.94662475585938
Magnetometer,205030,-11.849517822265625,-156.14364624023438,-82.04666137695312
Magnetometer,205041,-10.799560546875,-155.3936767578125,-82.796630859375
Magnetometer,205052,-10.799560546875,-156.14364624023438,-83.54660034179688
Magnetometer,205063,-10.649566650390625,-154.04373168945312,-82.94662475585938
Magnetometer,205074,-10.649566650390625,-153.74374389648438,-84.29656982421875
Magnetometer,205085,-11.3995361328125,-154.49371337890625,-85.04653930664062
Magnetometer,205096,-10.049591064453125,-153.59375,-84.14657592773438
Magnetometer,205108,-9.89959716796875,-152.9937744140625,-84.74655151367188
Magnetometer,205119,-9.599609375,-152.24380493164062,-84.29656982421875
Magnetometer,205130,-10.049591064453125,-153.59375,-83.84658813476562
Magnetometer,205141,-9.29962158203125,-154.64370727539062,-83.09661865234375
